wineImage,wineName,wineNameEng,wineType,winePrice,wineSweet,wineBody,wineVariety,aroma1,aroma2,aroma3
https://wine21.speedgabia.com/WINE_MST/TITLE/0172000/W0172246.png,낙낙 레드 블랜드,Knock Knock Red Blend,레드,2,1,4,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171768.jpg,피치니 피노키오,Piccini Pinocchio,레드,2,1,4,블렌드,꽃,레몬,베리
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171605.png,체비코 스위트 키스,Cevico Sweet Kiss Rosso,레드,1,1,3,블렌드,말린과일,베리,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171604.png,체비코 드라이 키스,Cevico Dry Kiss Rosso,레드,1,1,4,블렌드,말린과일,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171597.png,스윙 쉬라즈,Swing Shiraz,레드,2,1,4,시라/쉬라즈,베리,시나몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171587.png,보데가스 까레 산타 크루즈 세인트 존,Bodegas Care Santa Cruz Saint John,레드,1,1,4,블렌디드,베리, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171586.png,보데가스 까레 산타 크루즈 세인트 마커스,Bodegas Care Santa Cruz Saint Marcus,레드,1,2,4,블렌디드,베리, , 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170407_002.png,샤또 도레 루즈,Chateau D'Haurents Rouge,레드,0,1,4,블렌디드,베리,시나몬,크로와상
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170371.png,칠라노 레드 블렌드,Chilano Red Blend,레드,1,1,4,블렌디드,베리, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170370.png,칠라노 엔트리 카베르네 소비뇽,Chilano Entry Cabernet Sauvignon,레드,1,1,4,카베르네 소비뇽,베리, , 
