이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167190.png,주스티노스 마데이라 파인 드라이 3년,Justino's Madeira Fine dry 3 years Old,주정강화,5,1,3,틴타 네그라 몰레,아몬드,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167188.jpg,풀뽀로꼬 화이트 상그리아,Pulpoloco White Sangria,기타,1,3,2,아이렌,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167168.png,앙고브 레어 토니 15년,Angove Rare Tawny 15 years,주정강화,10,5,5,블렌디드,꽃,말린과일,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167167.png,앙고브 그랜드 토니 10년,Angove Grand Tawny 10years,주정강화,7,5,5,블렌드,말린과일,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167051.jpg,로레아 넘버 2 상그리아,Lolea No.2 Sangria,기타,3,1,1,블렌디드,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167050.jpg,로레아 넘버 1 상그리아,Lolea No.1 Sangria,기타,3,2,2,블렌디드,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166619.jpg,하셀그로브 디 올드넛 토니 포트,Haselgrove The Old Nut Tawny Port,주정강화,10,5,5,블렌디드,말린과일,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166298.jpg,레오나르드 커리쉬 산타 아니타 글루바인,Leonard Kreusch Santa Anita Gluhwein,기타,1,3,4,블렌드,레몬,베리,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0166000/W0166119.jpg,쿠자 보다 7년,Cuza Voda 7years,고도주,8,1,4,기타,사과,시나몬,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0165000/W0165334.jpg,풀뽀로꼬 상그리아 카토캔,Pulpoloco Sangria Cartocan,기타,0,3,3,템프라니요,레몬,베리,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164795.jpg,까잘 가르시아 상그리아,Casal Garcia Sangria,기타,3,3,2,블렌디드,레몬,베리,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164007.jpg,풀뽀로꼬 상그리아,Pulpoloco Sangria,기타,1,3,3,템프라니요,레몬,베리,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163830.jpg,그라빠 디 바롤로 42 아피나타,Grappa di Barolo 42 Affinata,고도주,14,1,5,네비올로,시나몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163824.jpg,일리걸 몰트 와인,Ilegal Malted Wine,기타,0,1,2,블렌디드,꽃,허브, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163253.jpg,아카데미아 아마레또,Accademia Amaretto,기타,6,5,2,기타,아몬드, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163252.jpg,아카데미아 리몬첼로,Accademia Limoncello,기타,5,4,2,기타,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163115.jpg,레오나르드 커리쉬 클리스트킨들 글루바인,Leonard Kreusch Christkindles Gluhwein,기타,1,1,3,블렌드,레몬,숙성,시나몬
