이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170219.png,유미의 가르고뜨 샤도네이,Yumi's Gargotte Chardonnay,화이트,1,1,1,샤르도네,꽃,돌, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170216.png,에스콜리후엘라 가스콘 서커스 토론테스,Escorihuela Gascon Circus Torrontes,화이트,5,1,2,토론테스,꽃,레몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170213.png,카테나 자파타 안젤리카 자파타 샤도네이,Catena Zapata Angelica Zapata Chardonnay,화이트,8,1,1,샤르도네,꽃,시나몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170204.png,라바날 와인 까발로 도라도 샤도네이,Ravanal Wines Caballo Dorado Chardonnay,화이트,1,1,1,샤르도네,파인애플, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170199.png,알루아도 샤도네이,Aluado Chardonnay,화이트,4,1,1,샤르도네,레몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170176.png,생 클레어 스페셜 에디션 소비뇽 블랑,Saint Clair Special Edition Sauvignon Blanc,화이트,1,1,1,소비뇽 블랑,레몬,사과,파프리카
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170172.png,그루버 뢰시츠 그린 펩 그뤼너 벨트리너,Gruber Roeschitz Green Pepp Gruner Veltliner,화이트,1,1,2,그뤼너 벨트리너,레몬,허브, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170165_001.png,메종 까밀 지로 부르고뉴 샤도네이,Maison Camille Giroud Bourgogne Chardonnay,화이트,11,1,1,샤르도네,돌,레몬, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170160.png,몽그라스 데이원 샤도네이,Montgras Day One Chardonnay,화이트,4,1,1,샤르도네,꽃,레몬,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170140.png,카사 세코 모스카토 다스티,Casa Secco Moscato d'Asti,화이트,4,3,1,모스카토,꽃, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170130.png,페로 13 해쉬태그,Ferro 13 Hashtag,화이트,4,1,2,소비뇽 블랑,꽃,돌, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170129.png,페로 13 더 레이디,Ferro 13 The Lady,화이트,4,1,1,피노 그리지오,사과, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170124.png,테누타 산 안토니오 소아베 폰타나,Tenuta Sant' Antonio Soave Fontana,화이트,4,1,1,블렌디드,꽃,사과,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170116.png,지라드 소비뇽 블랑,Girard Sauvignon Blanc,화이트,9,1,1,소비뇽 블랑,돌,레몬,파인애플
https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170082.png,미도우크로프트 나파 밸리 샤도네이,Meadowcroft Napa Valley Chardonnay,화이트,9,1,1,샤르도네,돌,레몬,시나몬
